,rpmSetPoint,CurrentPeak,UTE,@timestamp,numTP,statoRot,statorCelsius,DIAM,idChiave,bearingsCelsius,ist_acc,spindleRpm,VibromPeak,LUNG
193,20000.0,13.353,DIA12_16-20Z3V,2021-01-26T08:30:37.211Z,1,1,12.0,12.0,3565,9.0,384842,19983.0,0.7,120.169
194,12000.0,12.999,SPIANA80,2021-01-26T09:20:15.500Z,1,1,13.0,80.0,3566,11.0,682693,12012.0,0.3,109.76
195,12000.0,13.041,SPIANA80,2021-01-26T09:26:03.185Z,1,1,21.0,80.0,3567,12.0,717464,12006.0,0.4,109.76
196,20000.0,13.183,DIA12_16-20Z3V,2021-01-26T10:52:30.275Z,1,1,17.0,12.0,3568,14.0,1236211,19999.0,0.5,120.032
197,20000.0,13.168,DIA12_16-20Z3V,2021-01-26T11:16:10.911Z,1,1,18.0,12.0,3570,15.0,1378285,19995.0,0.6,120.032
198,20000.0,13.395,DIA12_16-20Z3V,2021-01-26T12:37:25.306Z,1,1,20.0,12.0,3573,17.0,1865760,20018.0,0.4,120.032
199,20000.0,13.26,DIA12_16-20Z3V,2021-01-26T13:04:57.616Z,1,1,21.0,12.0,3575,18.0,2031003,19960.0,0.4,120.032
200,18000.0,13.409,DIA08CANALI,2021-01-26T13:05:28.063Z,1,1,22.0,8.0,3576,18.0,2034048,18002.0,1.0,103.44
201,20000.0,12.935,DIA12_16-20Z3V,2021-01-26T13:06:48.828Z,1,1,24.0,12.0,3577,18.0,2042125,19985.0,0.4,120.032
202,20000.0,13.246,DIA12_16-20Z3V,2021-01-26T13:09:33.906Z,1,1,23.0,12.0,3578,19.0,2058634,19972.0,0.5,120.032
203,18000.0,12.984,DIA08CANALI,2021-01-26T13:18:41.726Z,1,1,24.0,8.0,3580,20.0,2113420,18005.0,1.4,103.44
204,20000.0,13.197,DIA12_16-20Z3V,2021-01-26T13:22:11.511Z,1,1,29.0,12.0,3581,21.0,2134400,19985.0,0.6,120.032
205,20000.0,13.246,DIA12_16-20Z3V,2021-01-26T13:38:18.870Z,1,1,24.0,12.0,3582,21.0,2231143,19976.0,0.7,120.032
206,20000.0,13.062,DIA12_16-20Z3V,2021-01-26T13:40:53.459Z,1,1,25.0,12.0,3583,21.0,2246603,20014.0,0.7,120.032
