,CurrentPeak,statorCelsius,rpmSetPoint,bearingsCelsius,VibromPeak,idChiave,ist_acc,spindleRpm,LUNG,numTP,UTE,@timestamp,statoRot,DIAM
127,13.998,29.0,0.0,20.0,0.1,1032,2929567,0.0,186.0,1,M6,2021-01-22T16:58:02.522Z,1,6.0
128,11.66,29.0,750.0,20.0,0.1,1032,2930333,750.0,186.0,1,M6,2021-01-22T16:58:10.182Z,1,6.0
129,14.49,29.0,0.0,20.0,0.1,1032,2930561,0.0,186.0,1,M6,2021-01-22T16:58:12.462Z,1,6.0
130,11.935,29.0,750.0,20.0,0.1,1032,2930830,747.0,186.0,1,M6,2021-01-22T16:58:15.152Z,1,6.0
131,14.302,30.0,0.0,20.0,0.1,1032,2931059,0.0,186.0,1,M6,2021-01-22T16:58:17.442Z,1,6.0
132,11.876,30.0,750.0,20.0,0.1,1032,2931327,753.0,186.0,1,M6,2021-01-22T16:58:20.122Z,1,6.0
133,14.197,30.0,0.0,20.0,0.1,1032,2931555,0.0,186.0,1,M6,2021-01-22T16:58:22.402Z,1,6.0
134,11.917,30.0,750.0,20.0,0.1,1032,2931824,750.0,186.0,1,M6,2021-01-22T16:58:25.092Z,1,6.0
135,14.501,30.0,0.0,20.0,0.1,1032,2932052,0.0,186.0,1,M6,2021-01-22T16:58:27.372Z,1,6.0
136,14.49,30.0,0.0,20.0,0.1,1032,2932550,0.0,186.0,1,M6,2021-01-22T16:58:32.352Z,1,6.0
137,12.193,30.0,750.0,20.0,0.1,1032,2932818,747.0,186.0,1,M6,2021-01-22T16:58:35.032Z,1,6.0
138,14.414,31.0,0.0,20.0,0.1,1032,2933046,0.0,186.0,1,M6,2021-01-22T16:58:37.312Z,1,6.0
139,12.24,30.0,750.0,20.0,0.1,1032,2932321,748.0,186.0,1,M6,2021-01-22T16:58:30.062Z,1,6.0
140,12.257,31.0,750.0,20.0,0.1,1032,2933315,753.0,186.0,1,M6,2021-01-22T16:58:40.003Z,1,6.0
141,13.986,31.0,0.0,20.0,0.1,1032,2933543,0.0,186.0,1,M6,2021-01-22T16:58:42.283Z,1,6.0
142,11.63,31.0,750.0,20.0,0.1,1032,2934309,747.0,186.0,1,M6,2021-01-22T16:58:49.943Z,1,6.0
143,13.845,31.0,0.0,20.0,0.1,1032,2934538,0.0,186.0,1,M6,2021-01-22T16:58:52.233Z,1,6.0
144,11.736,31.0,750.0,20.0,0.1,1032,2933812,750.0,186.0,1,M6,2021-01-22T16:58:44.973Z,1,6.0
145,13.863,31.0,0.0,20.0,0.1,1032,2934040,0.0,186.0,1,M6,2021-01-22T16:58:47.253Z,1,6.0
146,11.707,31.0,750.0,20.0,0.1,1032,2934806,751.0,186.0,1,M6,2021-01-22T16:58:54.913Z,1,6.0
147,14.425,31.0,0.0,20.0,0.1,1032,2935034,0.0,186.0,1,M6,2021-01-22T16:58:57.193Z,1,6.0
148,12.316,31.0,750.0,20.0,0.1,1032,2935303,755.0,186.0,1,M6,2021-01-22T16:58:59.883Z,1,6.0
149,14.443,32.0,0.0,20.0,0.1,1032,2935531,0.0,186.0,1,M6,2021-01-22T16:59:02.163Z,1,6.0
