,statorCelsius,LUNG,VibromPeak,spindleRpm,@timestamp,DIAM,ist_acc,idChiave,rpmSetPoint,numTP,bearingsCelsius,CurrentPeak,UTE,statoRot
154,27.0,259.7,0.3,2018.0,2021-07-23T06:12:07.033Z,16.0,2462081,7224,2000.0,1,0.0,26.195,TH_16MM_182,1
155,29.0,98.349,2.6,3921.0,2021-07-23T06:20:55.462Z,351.0,2514923,7225,4000.0,1,0.0,27.931,FRESA350,1
156,30.0,98.349,4.5,3999.0,2021-07-23T06:23:40.774Z,351.0,2531454,7225,4000.0,1,0.0,6.851,FRESA350,1
157,30.0,98.349,2.6,4000.0,2021-07-23T06:24:11.975Z,351.0,2534574,7225,4000.0,1,0.0,2.976,FRESA350,1
158,37.0,118.0,1.5,18059.0,2021-07-23T06:27:35.118Z,8.9,2554888,7226,18000.0,1,0.0,34.037,R9MM_25,1
159,30.0,98.349,2.7,3910.0,2021-07-23T06:30:25.021Z,351.0,2571878,7227,4000.0,1,0.0,26.381,FRESA350,1
160,30.0,127.8,0.3,4944.0,2021-07-23T06:30:51.651Z,8.0,2574541,7228,5000.0,1,0.0,36.611,R0MM_53,1
161,28.0,259.7,0.3,1995.0,2021-07-23T06:32:35.633Z,16.0,2584939,7229,2000.0,1,0.0,36.146,TH_16MM_182,1
162,28.0,98.349,2.5,3960.0,2021-07-23T06:41:18.852Z,351.0,2637260,7230,4000.0,1,0.0,29.077,FRESA350,1
163,30.0,98.349,4.0,4000.0,2021-07-23T06:43:59.984Z,351.0,2653373,7230,4000.0,1,0.0,3.131,FRESA350,1
164,30.0,98.349,2.3,3997.0,2021-07-23T06:44:31.135Z,351.0,2656488,7230,4000.0,1,0.0,4.898,FRESA350,1
165,37.0,118.0,1.6,18069.0,2021-07-23T06:47:54.328Z,8.9,2676807,7231,18000.0,1,0.0,26.969,R9MM_25,1
166,30.0,98.349,3.0,3971.0,2021-07-23T06:51:10.891Z,351.0,2696463,7232,4000.0,1,0.0,36.487,FRESA350,1
167,30.0,127.8,0.3,5015.0,2021-07-23T06:51:37.472Z,8.0,2699121,7233,5000.0,1,0.0,26.226,R0MM_53,1
168,28.0,259.7,0.3,2016.0,2021-07-23T06:54:03.424Z,16.0,2713716,7234,2000.0,1,0.0,25.482,TH_16MM_182,1
169,29.0,98.349,2.4,3942.0,2021-07-23T07:02:46.323Z,351.0,2766005,7235,4000.0,1,0.0,24.521,FRESA350,1
170,30.0,98.349,3.9,4000.0,2021-07-23T07:05:36.326Z,351.0,2783005,7235,4000.0,1,0.0,4.805,FRESA350,1
171,30.0,98.349,2.0,4001.0,2021-07-23T07:06:22.636Z,351.0,2787636,7235,4000.0,1,0.0,4.309,FRESA350,1
172,35.0,118.0,1.2,18052.0,2021-07-23T07:09:53.340Z,8.9,2808706,7236,18000.0,1,0.0,27.434,R9MM_25,1
173,30.0,98.349,2.9,3968.0,2021-07-23T07:12:53.723Z,351.0,2826744,7237,4000.0,1,0.0,30.163,FRESA350,1
174,30.0,127.8,0.3,4963.0,2021-07-23T07:13:20.263Z,8.0,2829398,7238,5000.0,1,0.0,34.472,R0MM_53,1
175,29.0,259.7,0.3,2009.0,2021-07-23T07:16:39.727Z,16.0,2849344,7239,2000.0,1,0.0,34.937,TH_16MM_182,1
176,30.0,98.349,2.4,3954.0,2021-07-23T07:25:22.785Z,351.0,2901649,7240,4000.0,1,0.0,22.723,FRESA350,1
