,DIAM,rpmSetPoint,statoRot,LUNG,numTP,UTE,ist_acc,CurrentPeak,bearingsCelsius,VibromPeak,idChiave,statorCelsius,spindleRpm,@timestamp
172,6.0,12000.0,1,130.958,1,D6_L23_Z2,476542,3.638,27.0,0.1,1469,30.0,9614.0,2021-07-01T07:47:31.314Z
173,6.0,12000.0,1,130.958,1,D6_L23_Z2,477444,3.519,27.0,0.1,1469,30.0,9736.0,2021-07-01T07:47:40.334Z
174,6.0,12000.0,1,130.958,1,D6_L23_Z2,477492,3.077,27.0,0.1,1469,30.0,9852.0,2021-07-01T07:47:40.814Z
175,6.0,12000.0,1,130.958,1,D6_L23_Z2,478040,3.111,27.0,0.1,1469,30.0,9971.0,2021-07-01T07:47:46.294Z
176,6.0,12000.0,1,130.958,1,D6_L23_Z2,478368,3.519,27.0,0.1,1469,30.0,10212.0,2021-07-01T07:47:49.574Z
177,6.0,12000.0,1,130.958,1,D6_L23_Z2,478440,2.958,27.0,0.1,1469,30.0,10317.0,2021-07-01T07:47:50.294Z
178,6.0,12000.0,1,130.958,1,D6_L23_Z2,478964,2.992,27.0,0.1,1469,30.0,10326.0,2021-07-01T07:47:55.534Z
179,6.0,12000.0,1,130.958,1,D6_L23_Z2,479042,3.757,27.0,0.1,1469,30.0,10449.0,2021-07-01T07:47:56.314Z
180,6.0,12000.0,1,130.958,1,D6_L23_Z2,479662,3.23,27.0,0.1,1469,30.0,10324.0,2021-07-01T07:48:02.514Z
181,6.0,12000.0,1,130.958,1,D6_L23_Z2,480384,3.757,27.0,0.1,1469,30.0,10567.0,2021-07-01T07:48:09.734Z
